rule_id	resource_meta	resource	resource_granular	granular_is_new	granular_parent_meta	granular_reasoning
tlg0026.tlg001.perseus-eng2::37	Protection from enslavement	Protection from being hired for prostitution	Protection from private assault	False	Protection from corporal punishment	Hiring an Athenian for prostitution is treated as a 'wanton outrage' (hubris), a form of assault.
tlg0026.tlg001.perseus-eng2::38	Protection from legal prosecution	Administrative protection of estate and person	Right to a trial	False	Right to a legal trial	Specifies the archon's duty to legally 'protect orphans' and uphold laws of 'chastity'.
tlg0026.tlg001.perseus-eng2::39	Access to religious rites	Right to enter the market-place and wear garlands	Access to the Agora	False	Right to reside in the city	Verbatim asks 'do you thrust yourself into the market-place [agora]' and 'put on a garland'.
tlg0026.tlg001.perseus-eng2::40	Eligibility for public office	Eligibility for the archonship	Eligibility for the council	False	Eligibility for public office	The 'Council of Elders' (Gerousia) is the specific body mentioned.
tlg0026.tlg001.perseus-eng2::41	Access to religious rites	Right to attend public sacrifices	Participation in sacred rites	False	Access to religious rites	Prohibits an adulteress from attending 'public sacrifices'.
tlg0026.tlg001.perseus-eng2::42	Protection from capital punishment	Protection from capital punishment	Protection from capital punishment	False	Protection from capital punishment	Mentions procurers being 'punished with death' via indictment.
tlg0026.tlg001.perseus-eng2::43	Right to retain property	Right to retain property	Owning and retaining property	False	Right to retain property	Focuses on those who 'squandered their patrimony' (inheritance) through extravagance.
tlg0026.tlg001.perseus-eng2::44	Eligibility for public office	Eligibility for the archonship	Eligibility for priesthood	True	Eligibility for public office	Verbatim explicitly mentions being a 'candidate for election by lot for the priesthood'.
tlg0026.tlg003.perseus-eng2::2	Exemption from legal audit	Exemption from legal audit	Exemption from legal audit	False	Exemption from legal audit	States that 'no man is free from the audit' who held a public trust.
tlg0026.tlg003.perseus-eng2::3	Exemption from legal audit	Exemption from legal audit	Exemption from legal audit	False	Exemption from legal audit	The law 'directs that priests and priestesses be subject to audit'.
tlg0026.tlg003.perseus-eng2::6	Right to freedom of movement	Right to leave the country	Freedom of movement	False	Right to freedom of movement	The officer 'shall not leave the country' until submitting accounts.
tlg0026.tlg003.perseus-eng2::7	Right to dispose of property	Right to dispose of property	Disposing of property by will	False	Right to dispose of property	Verbatim explicitly lists the right to 'dispose of his property by will'.
tlg0026.tlg003.perseus-eng2::9	Protection from enslavement	Public manumission in the theater	Personal liberty	False	Protection from enslavement	Refers to the 'manumission [freeing] of a slave' in a public setting.
tlg0026.tlg003.perseus-eng2::11	Right to address the assembly	Right to address the assembly	Speaking in the assembly	False	Right to address the assembly	Describes Callias and Demosthenes 'coming forward in your assembly' to repeat a speech.
tlg0026.tlg003.perseus-eng2::12	Right to vote in the Ekklesia	Right to elect ambassadors	Election of magistrates	False	Right to vote in the Ekklesia	Discusses the assembly's motion to 'choose ambassadors' (officials).
tlg0026.tlg003.perseus-eng2::13	Right to vote in the Ekklesia	Right to vote on public decrees	Voting in the assembly	False	Right to vote in the Ekklesia	States 'everything is done there by popular vote' and cites a 'decree of the people'.
tlg0026.tlg003.perseus-eng2::15	Eligibility for public office	Eligibility for the archonship	Election of magistrates	False	Right to vote in the Ekklesia	Mentions that 'you elected Meidias... and Thrasycles' as pylagori.
tlg0026.tlg003.perseus-eng2::16	Political power	Political power over the Amphictyonic Council	Deliberative authority	False	Political power	The verbatim refers to the privilege of taking part in 'debates' and having the 'vote of the state' cast in a council.
tlg0026.tlg003.perseus-eng2::17	Exemption from manual labor	Exemption from compulsory public labor	Exemption from manual or agricultural labor	False	Exemption from manual labor	The rule describes a call for men to come with 'shovels and mattocks' for compulsory labor under threat of being 'debarred from the shrine'.
tlg0026.tlg003.perseus-eng2::19	Right to citizenship	Right to citizenship	Right to citizenship	False	Right to citizenship	The verbatim discusses inheriting enmity and being a 'Greek-tongued barbarian' by blood, implying requirements for citizen status.
tlg0026.tlg003.perseus-eng2::21	Right to bear arms	Public maintenance and armor	Possession of arms	False	Right to bear arms	The text describes war orphans being 'clad thus in full armour' provided by the state upon coming of age.
tlg0026.tlg003.perseus-eng2::24	Right to reside in the city	Access to the Agora	Access to the Agora	False	Right to reside in the city	The verbatim explicitly states that cowards are 'excluded by the lawgiver from the purified precincts of the Agora'.
tlg0026.tlg003.perseus-eng2::25	Access to public honors	Eligibility for crowning	Eligibility for public honors	False	Access to public honors	The text specifies that the excluded person 'may not be crowned', which is a formal public honor.
tlg0026.tlg003.perseus-eng2::26	Access to religious rites	Participation in sacred rites	Participation in sacred rites	False	Access to religious rites	The text states the individual may not 'take part in the sacred rites of the people'.
tlg0026.tlg003.perseus-eng2::27	Access to religious rites	Access to the orchestra	Access to sacred spaces	False	Access to religious rites	The verbatim mentions the right to enter the 'orchestra at the time of the tragedies' and the 'shrine of Dionysus'.
tlg0026.tlg003.perseus-eng2::29	Access to public honors	Eligibility for public honors	Eligibility for public honors	False	Access to public honors	The rule concerns laws which 'forbid crowning men' who have not yet passed their financial audit.
tlg0026.tlg003.perseus-eng2::31	Right to address the assembly	Right to address the assembly	Speaking in the assembly	False	Right to address the assembly	The text states that in a democracy 'he speaks who chooses' and 'addresses the people'.
tlg0026.tlg003.perseus-eng2::32	Exemption from taxes	Protection from disproportionate taxation	Exemption from liturgies	False	Exemption from compulsory public financing	The verbatim mentions 'trierarchic' naval contributions and being 'Commissioner of the Navy', which are specific liturgies.
tlg0026.tlg003.perseus-eng2::33	Right to citizenship	Right to retain citizenship	Right to citizenship	False	Right to citizenship	The text explicitly mentions how the state 'disfranchise those who are convicted of receiving bribes'.
tlg0026.tlg003.perseus-eng2::34	Protection from capital punishment	Protection from execution	Protection from capital punishment	False	Protection from capital punishment	The verbatim describes individuals 'punished with death' by the Areopagus for treason or cowardice.
tlg0027.tlg002.perseus-eng2::0	Right to citizenship	Common benefits of the state	Right to citizenship	False	Right to citizenship	The text refers to the state being 'common to all who enjoy civic rights'.
tlg0027.tlg002.perseus-eng2::1	Protection from capital punishment	Protection from summary execution	Protection from execution without trial	False	Protection from capital punishment	The speaker mentions laying hold of sacred emblems (supplication) to save his 'life' when men were 'desirous of putting to death'.
tlg0027.tlg002.perseus-eng2::2	Protection from public libel	Protection from public censure	Exemption from legal audit	False	Exemption from legal audit	The verbatim describes a group 'liable to be called to account and censured' (the euthuna process).
tlg0027.tlg002.perseus-eng2::3	Right to citizenship	Right to civic rights	Right to citizenship	False	Right to citizenship	The text explicitly refers to 'bestowing civic rights' upon slaves and foreigners as a gift for service.
tlg0027.tlg002.perseus-eng2::4	Political power	Right to grant legal pardon	Immunity from prosecution	False	Protection from legal prosecution	The 'pardon' mentioned refers to a legal immunity or release from penalty previously granted by the citizens.
tlg0027.tlg004.perseus-eng2::0	Right to a legal trial	Protection from imprisonment without trial	Right to a trial	False	Right to a legal trial	The oath mentioned swears to 'exile no one, to imprison no one, to put no one to death, without trial'.
tlg0027.tlg004.perseus-eng2::1	Protection from arbitrary banishment	Protection from ten-year exile	Protection from arbitrary banishment	False	Protection from arbitrary banishment	The text describes the 'person ostracized' as being 'cut off from his country' for ten years without a trial.
tlg0027.tlg004.perseus-eng2::2	Right to bodily autonomy	Right to initiate divorce	Freedom of choice in marriage	False	Right to bodily autonomy	The verbatim refers to the legal entitlement to 'divorce him.'
tlg0027.tlg004.perseus-eng2::3	Protection from corporal punishment	Protection from arbitrary imprisonment	Protection from arbitrary arrest	False	Right to a legal trial	The text specifies that 'no free man shall be imprisoned or placed in durance.'
tlg0027.tlg004.perseus-eng2::4	Protection from legal prosecution	Protection from failed prosecution costs	Immunity from prosecution	False	Protection from legal prosecution	Refers to a fine for anyone who 'fails to gain one-fifth of the votes' in an arrest/prosecution.
tlg0027.tlg004.perseus-eng2::5	Right to a legal trial	Protection from re-trial on same charges	Right to a trial	False	Right to a legal trial	Verbatim cites laws forbidding the 'same charge to be brought twice against the same defendant.'
tlg0027.tlg004.perseus-eng2::8	Exemption from compulsory public financing	Exemption from compulsory public financing	Exemption from liturgies	False	Exemption from compulsory public financing	Discusses being 'subjected to' the role of 'Choregus,' which is a liturgy.
tlg0027.tlg004.perseus-eng2::10	Right to reside in the city	Right to reside in the city	Protection from arbitrary banishment	False	Protection from arbitrary banishment	Describes the act of 'ostracizing' individuals as a form of state punishment.
tlg0027.tlg004.perseus-eng2::11	Right to retain own earnings	Right to retain own earnings	Retaining one's own earnings	False	Right to retain own earnings	Expenditure is met 'not from monies belonging to the state, but from my own pocket.'
tlg0028.tlg003.perseus-eng2::0	Access to religious rites	Right to enter sacred or public places	Access to sacred spaces	False	Access to religious rites	The law forbids the slayer 'to set foot where he is forbidden to set foot' (sacred/public sites).
tlg0028.tlg003.perseus-eng2::1	Protection from legal prosecution	Protection from legal penalties	Immunity from prosecution	False	Protection from legal prosecution	Discusses whether one should 'suffer punishment' for killing without meaning to.
tlg0030.tlg003.perseus-eng2::0	Right to retain property	Right to be returned if defective	Owning and retaining property	False	Right to retain property	The verbatim mentions the right to return a 'slave in question' to the vendor if a disability was not declared.
tlg0030.tlg003.perseus-eng2::2	Right to dispose of property	Right to bequeath property	Disposing of property by will	False	Right to dispose of property	Verbatim mentions the law 'allows a man to bequeath his property as he wishes' via 'wills.'
tlg0030.tlg003.perseus-eng2::3	Protection from legal prosecution	Protection from legal liability	Immunity from prosecution	False	Protection from legal prosecution	Discusses whether crimes of a slave are the 'responsibility of the master.'
tlg0030.tlg003.perseus-eng2::4	Right to freedom of movement	Freedom of movement during war	Freedom of movement	False	Right to freedom of movement	Verbatim cites a law which 'forbids metics to move in war time.'
tlg0032.tlg009.perseus-eng2::1	Exemption from military service	Exemption from personal military service	Exemption from military service	False	Exemption from military service	Directly states that providers of horses/arms shall be 'exempt from personal service.'
tlg0032.tlg009.perseus-eng2::2	Right to a legal trial	Protection from criminal punishment	Right to a trial	False	Right to a legal trial	Discusses not punishing 'prisoners as criminals' and providing them refuge/protection.
tlg0032.tlg009.perseus-eng2::4	Protection from corporal punishment	Protection from physical harm	Protection from private assault	False	Protection from corporal punishment	Refers to 'suppliants of the gods' being suffered to go 'whithersoever they wished' without 'violence.'
tlg0059.tlg006.perseus-eng2::1	Access to the gymnasium	Access to the gymnasium	Access to physical training	False	Access to the gymnasium	Mentions youth 'anointing themselves' and 'exercising' in a 'gymnasium.'
tlg0059.tlg006.perseus-eng2::2	Right to inherit property	Right to inherit property directly	Inheriting property	False	Right to inherit property	Mentions a son of a man who 'left a very large property' which was later 'squandered by trustees.'
tlg0059.tlg006.perseus-eng2::3	Right to retain own earnings	Right to practice midwifery	Right to engage in business	False	Right to retain own earnings	Uses the word 'office' and 'art' for the practice of midwifery by older women.
tlg0059.tlg006.perseus-eng2::6	Access to the gymnasium	Access to physical training	Access to physical training	False	Access to the gymnasium	Discusses preserving the body through 'gymnastic exercises and motions.'
tlg0059.tlg006.perseus-eng2::7	Protection from capital punishment	Right to be reared	Protection from capital punishment	False	Protection from capital punishment	The father's decision to 'bring up the child or to expose it' concerns the survival/death of the infant.
tlg0059.tlg006.perseus-eng2::8	Protection from capital punishment	Right to be reared	Protection from capital punishment	False	Protection from capital punishment	The mention of whether an offspring should be 'cared for and not put away' or 'exposed' relates to the right to life.
tlg0059.tlg006.perseus-eng2::15	Right to free speech	Right to unlimited speech	Testifying in court	False	Right to valid professional opinion	Refers to litigants in a suit restricted by the 'water-clock' and the 'brief' (affidavit) from which no deviation is allowed.
tlg0059.tlg006.perseus-eng2::23	Right to valid professional opinion	Right to valid professional opinion	Testifying in court	False	Right to valid professional opinion	Describes arguments 'persuasive in court' and the ability to give a professional opinion for a fee.
tlg0059.tlg006.perseus-eng2::27	Right to retain property	Right to control possessions	Owning and retaining property	False	Right to retain property	The verbatim discusses a man who 'bought a cloak' and had it under his 'control' or 'possessed' it.
tlg0059.tlg006.perseus-eng2::28	Right to address the assembly	Permission to influence through persuasion	Speaking in the assembly	False	Right to address the assembly	Refers to the 'profession of those who are... called orators' and their power to 'persuade men'.
tlg0059.tlg006.perseus-eng2::29	Eligibility for public office	Right to judge without eyewitness knowledge	Eligibility for jury service	False	Eligibility for public office	Refers to 'judges' (dikastai) being persuaded and passing 'judgement' based on evidence or hearsay.
tlg0059.tlg010.perseus-eng2::11	Right to bodily autonomy	Intensity of physical pleasure	Personal liberty	True	Protection from enslavement	Describes the intensity of 'bodily sufferings' and physical 'pleasure' in a diseased versus healthy state.
tlg0059.tlg010.perseus-eng2::14	Protection from public libel	Exemption from being considered ridiculous	Protection from slander	False	Protection from public libel	Discusses those who are 'laughed at' and whether such ignorance is considered 'ridiculous' or 'infamous'.
tlg0059.tlg010.perseus-eng2::15	Right to professional judgement	Access to exact knowledge	Testifying in court	False	Right to valid professional opinion	Contrasts the 'arithmetic of the people' with that of 'philosophers' regarding accuracy in truth and measures.
tlg0059.tlg010.perseus-eng2::17	Right to professional judgement	Methodological certainty	Testifying in court	False	Right to valid professional opinion	Discusses degrees of 'certainty' and 'guesswork' in professional arts like medicine and generalship.
tlg0059.tlg011.perseus-eng2::3	Right to bodily autonomy	Protection from pursuit by popular lovers	Protection from private assault	False	Protection from corporal punishment	Refers to a rule to 'refrain from loving our freeborn women,' implying protection from unsolicited advances/outrage.
tlg0059.tlg011.perseus-eng2::6	Right to freedom of movement	Freedom of movement and conversation	Freedom of movement	False	Right to freedom of movement	Fathers put tutors in charge of boys to 'prevent them from conversing with their lovers,' a restriction on movement/association.
tlg0059.tlg011.perseus-eng2::8	Eligibility for public office	Eligibility for the archonship	Eligibility for the archonship	False	Eligibility for public office	States that these men alone 'prove in a public career to be men,' identifying access to high office.
tlg0059.tlg011.perseus-eng2::9	Right to a legal trial	Right to enforce voluntary contracts	Right to a trial	False	Right to a legal trial	Agreements 'willingly made are held to be just' by the 'sovereign, the law,' implying judicial recognition of contracts.
tlg0059.tlg011.perseus-eng2::10	Right to bodily autonomy	Freedom from compulsory marriage	Freedom of choice in marriage	False	Right to bodily autonomy	Describes men having 'no natural interest in wiving' but doing so only 'under stress of custom'.
tlg0059.tlg011.perseus-eng2::12	Access to religious rites	Access to divine communication	Participation in sacred rites	False	Access to religious rites	Concerns 'priestcraft concerning sacrifice and ritual' and the 'converse of men with gods'.
tlg0059.tlg011.perseus-eng2::14	Right to bodily autonomy	Capacity to procreate	Personal liberty	True	Protection from enslavement	Discusses the biological 'yearning to beget' and the 'conjunction of man and woman'.
tlg0059.tlg011.perseus-eng2::15	Access to religious rites	Right to public shrines and cult honors	Access to sacred spaces	False	Access to religious rites	Mentions that in the name of legislators like Lycurgus and Solon 'has many a shrine been reared' as an honor.
tlg0059.tlg011.perseus-eng2::17	Access to public honors	Access to educational mentorship	Access to formal education	False	Access to the gymnasium	Describes the 'right method' of ascending from 'beautiful bodies' to 'beautiful learning'.
tlg0059.tlg011.perseus-eng2::19	Protection from corporal punishment	Protection by personal attendant	Personal liberty	False	Protection from enslavement	The verbatim discusses a 'youthful' elite being 'free' and having a 'personal attendant' (servant), implying the status of personal freedom.
tlg0059.tlg011.perseus-eng2::21	Right to free speech	Right to participate in intellectual gatherings	Speaking in the assembly	False	Right to address the assembly	The speaker mentions the intent to 'speak out freely', contrasted with the exclusion of 'domestics' and 'servants'.
tlg0059.tlg011.perseus-eng2::23	Eligibility for public office	Eligibility for the archonship	Eligibility for public honors	False	Access to public honors	Refers specifically to generals awarding the 'prize for valor'.
tlg0059.tlg024.perseus-eng2::0	Political power	Right to govern the city	Deliberative authority	False	Political power	Describes the competence to 'manage the affairs of his city', a core aspect of deliberative/political power.
tlg0059.tlg024.perseus-eng2::1	Right to own property	Right to manage household property	Owning and retaining property	False	Right to retain property	Refers to the duty of 'looking after the property indoors' within a domestic context.
tlg0059.tlg024.perseus-eng2::3	Eligibility for public office	Eligibility for the archonship	Eligibility for public office	False	Eligibility for public office	Explicitly mentions the acquisition of 'state honors and offices' as a good.
tlg0059.tlg024.perseus-eng2::4	Right to a legal trial	Protection from arbitrary arrest	Protection from arbitrary arrest	False	Right to a legal trial	Verbatim warns that a stranger 'would very likely be taken up' (arrested) for his behavior.
tlg0059.tlg024.perseus-eng2::7	Access to the gymnasium	Access to formal academic instruction	Access to formal education	False	Access to the gymnasium	Asks if 'anyone has ever taught him', identifying a slave who was 'born and bred' in the house without education.
tlg0059.tlg024.perseus-eng2::8	Right to retain own earnings	Right to charge a fee	Right to engage in business	False	Right to retain own earnings	Refers to teachers who 'charge a fee for the particular thing they do' as a legitimate activity.
tlg0059.tlg024.perseus-eng2::9	Right to retain own earnings	Right to charge a fee	Right to engage in business	False	Right to retain own earnings	Mentions sophists who 'instruct anyone who chooses in return for fees charged on a fixed scale'.
tlg0059.tlg024.perseus-eng2::10	Eligibility for public office	Eligibility for the highest offices	Eligibility for public office	False	Eligibility for public office	Mentions the people 'choose him for the highest offices'.
tlg0059.tlg024.perseus-eng2::11	Access to the gymnasium	Access to private specialized education	Access to formal education	False	Access to the gymnasium	Discusses a father spending money on 'having his children taught' by finding the right teacher.
tlg0059.tlg024.perseus-eng2::12	Political power	Right to self-determination	Personal liberty	False	Protection from enslavement	The verbatim compares unstable opinions to a 'runaway slave', implying the lack of liberty for the slave.
tlg0059.tlg027.perseus-eng2::0	Access to religious rites	Right to compete in public festivals	Participation in sacred rites	False	Access to religious rites	Refers to honoring a god with a 'contest of rhapsodes' at the Panathenaea festival.
tlg0059.tlg027.perseus-eng2::9	Eligibility for public office	Eligibility for the generalship	Eligibility for military command	False	Eligibility for public office	The verbatim explicitly mentions choosing foreigners as 'general' and investing them with 'high command'.
tlg0059.tlg036.perseus-eng2::3	Protection from public libel	Protection from slanderers and parasites	Protection from slander	False	Protection from public libel	Mentions the evil of 'slanderers' and 'parasites' that breed around wealth and privilege.
tlg0059.tlg036.perseus-eng2::4	Right to retain property	Right to retain property revenues	Retaining one's own earnings	False	Right to retain own earnings	Refers to the 'revenue which was usually paid over to him' during exile.
tlg0059.tlg036.perseus-eng2::5	Exemption from manual labor	Protection from forced labor	Protection from penal corporal punishment	False	Protection from corporal punishment	Concerns the release of a man from 'stone-quarries', a form of state penal labor/detention.
tlg0059.tlg036.perseus-eng2::6	Eligibility for public office	Eligibility for political consultancy	Eligibility for public office	False	Eligibility for public office	Discusses the availability of 'counsellors' for the state, restricted by age/experience.
tlg0059.tlg036.perseus-eng2::7	Right to address the assembly	Right to speak in the demos	Speaking in the assembly	False	Right to address the assembly	Verbatim mentions the power to 'speak before the demos' and 'stood up and made a speech'.
tlg0059.tlg036.perseus-eng2::8	Protection from capital punishment	Protection from execution without trial	Protection from execution without trial	False	Protection from capital punishment	The verbatim describes a citizen being fetched by force to be put to death without mention of a verdict.
tlg0059.tlg036.perseus-eng2::9	Right to a legal trial	Right to trial in law-courts	Right to a trial	False	Right to a legal trial	Explicitly mentions being summoned 'before the law-courts' to answer a charge.
tlg0059.tlg036.perseus-eng2::11	Protection from corporal punishment	Freedom from physical compulsion	Protection from penal corporal punishment	False	Protection from corporal punishment	Discusses using 'compulsion' (physical force or punishment) against a slave versus a free person.
tlg0059.tlg036.perseus-eng2::15	Right to own property	Right to direct property management	Owning and retaining property	False	Right to retain property	Relates to the management and enjoyment of income from one's own property while in exile.
tlg0059.tlg036.perseus-eng2::16	Right to retain own earnings	Right to contracted pay	Retaining one's own earnings	False	Right to retain own earnings	The soldiers processed against an attempt to 'reduce the pay' they were contracted to receive.
tlg0059.tlg036.perseus-eng2::17	Protection from capital punishment	Protection from arbitrary execution	Protection from capital punishment	False	Protection from capital punishment	The ruler 'refrained from killing' the guest despite suspicions of conspiracy.
tlg0059.tlg036.perseus-eng2::18	Right to retain property	Right to retain property income	Owning and retaining property	False	Right to retain property	Explicitly mentions the right of an exile to be 'enjoying the income from his property'.
tlg0059.tlg036.perseus-eng2::26	Right to retain own earnings	Right to retain own earnings	Exemption from liturgies	False	Exemption from compulsory public financing	Discusses the burden of 'furnishing a chorus' (a liturgy) and the lack of friends to help with costs.
tlg0059.tlg036.perseus-eng2::27	Right to a dowry	Right to receive marriage dowry	Right to a dowry	False	Right to a dowry	The text specifies the need to give 'portions' (dowries) to nieces for marriage.
tlg0062.tlg001.perseus-eng2::1	Right to citizenship	Right to hospitable reception	Right of residence	False	Right to reside in the city	Refers to the treatment of 'strangers' and 'visitors' and speeding them on their way with honors.
tlg0062.tlg001.perseus-eng2::3	Access to religious rites	Access to temple revenues	Access to public subsidies	False	Access to public honors	The people of Delphi depend on temple worshippers as their 'revenue' and 'subsistence'.
tlg0062.tlg008.perseus-eng2::0	Access to religious rites	Exemption from religious initiation	Participation in sacred rites	False	Access to religious rites	Concerns the charge of being 'uninitiated in the Eleusinian mysteries' and the choice to join them.
tlg0062.tlg008.perseus-eng2::1	Exemption from compulsory public financing	Exemption from public sacrifice	Participation in sacred rites	False	Access to religious rites	Concerns the charge of 'never having offered sacrifice' to the civic deity.
tlg0062.tlg008.perseus-eng2::4	Right to citizenship	Roman citizenship	Right to citizenship	False	Right to citizenship	Explicitly mentions being honored with 'Roman citizenship'.
tlg0062.tlg011.perseus-eng2::0	Exemption from taxes	Exemption from metic tax	Exemption from taxes	False	Exemption from taxes	The verbatim states the city was 'relieved of taxation'.
tlg0062.tlg011.perseus-eng2::1	Right to retain property	Right to retain property	Owning and retaining property	False	Right to retain property	The trial for 'feeble-mindedness' was an attempt by a son to seize legal control of the father's estate.
tlg0062.tlg015.perseus-eng4::0	Right to citizenship	Right to integrate with male guests	Right to attend public meals	True	Access to public honors	Describes the gendered seating arrangements and access to a shared formal banquet.
tlg0062.tlg015.perseus-eng4::1	Access to public honors	Priority in seating precedence	Eligibility for public honors	False	Access to public honors	Concerns 'etiquette' and 'due precedence' in seating based on priesthood and blood.
tlg0062.tlg015.perseus-eng4::2	Right to a dowry	Eligibility for advantageous marriage alliances	Freedom of choice in marriage	False	Right to bodily autonomy	Discusses being a 'selected bridegroom' based on status and inheritance.
tlg0062.tlg015.perseus-eng4::3	Access to public honors	Priority in seating precedence	Eligibility for public honors	False	Access to public honors	Concerns priority of seating 'in virtue of his years' (seniority).
tlg0062.tlg015.perseus-eng4::4	Right to a legal trial	Right to take legal action for unpaid fees	Right to a trial	False	Right to a legal trial	The speaker mentions the capacity to 'hale my pupils into court' to resolve debt disputes.
tlg0062.tlg015.perseus-eng4::7	Right to bodily autonomy	Protection from sexual assault	Protection from private assault	False	Protection from corporal punishment	Describes 'applying compulsion' to a girl, referring to private physical/sexual violence or outrage.
tlg0062.tlg026.perseus-eng4::0	Eligibility for public office	Right to serve on a jury	Eligibility for jury service	False	Eligibility for public office	Verbatim specifies 'Justice to assign them their juries from the whole body of the Athenians'.
tlg0062.tlg026.perseus-eng4::1	Exemption from taxes	Exemption from taxes	Exemption from taxes	False	Exemption from taxes	The text explicitly mentions the subject 'pays his taxes like any other naturalized foreigner.'
tlg0062.tlg026.perseus-eng4::2	Right to a legal trial	Right of appeal to higher authority	Right to a trial	False	Right to a legal trial	Specifies 'any party doubting the justice of his sentence to have the right of appeal'.
tlg0062.tlg026.perseus-eng4::3	Right to remuneration for office	Right to receive juror pay	Pay for assembly or jury service	False	Right to remuneration for office	Verbatim mentions 'the pay to be sixpence for each case' for the juries.
tlg0062.tlg026.perseus-eng4::6	Right to a legal trial	Right to local trial in Athens	Access to specialized courts	False	Right to a legal trial	Discusses whether 'outsiders' should be tried on 'Areopagus' or 'the other side of the Euphrates'.
tlg0062.tlg026.perseus-eng4::7	Right to vote in the Ekklesia	Right to vote in the Ekklesia	Voting in the assembly	False	Right to vote in the Ekklesia	Address to 'men of Athens' in a trial context implies the civic rights of 'countrymen' in the state.
tlg0062.tlg026.perseus-eng4::8	Eligibility for public office	Eligibility for jury service	Eligibility for jury service	False	Eligibility for public office	Addressing 'Gentlemen' who will 'remain and hear' a case as jurors.
tlg0062.tlg026.perseus-eng4::9	Right to retain property	Right to retain dowry upon divorce	Right to a dowry	False	Right to a dowry	Mentions 'bestowed the rich dowry' and the threat of bringing her into the 'divorce-court'.
tlg0062.tlg026.perseus-eng4::10	Right to remuneration for office	Right to receive jury fees	Pay for assembly or jury service	False	Right to remuneration for office	The verbatim states jurors 'will receive a double fee' for hearing a second case.
tlg0062.tlg030.perseus-eng2::1	Right to retain own earnings	Right to retain earnings from labor	Retaining one's own earnings	False	Right to retain own earnings	Refers to work that enables one to 'make any profit yourself'.
tlg0062.tlg030.perseus-eng2::2	Right to retain own earnings	Right to retain earnings from labor	Retaining one's own earnings	False	Right to retain own earnings	Refers to work that enables one to 'make any profit yourself'.
tlg0062.tlg030.perseus-eng2::4	Protection from corporal punishment	Protection from corporal punishment	Protection from penal corporal punishment	False	Protection from corporal punishment	Mentions study involves 'fear and floggings', contrasting school discipline with voluntary social settings.
tlg0062.tlg030.perseus-eng2::5	Exemption from manual labor	Right to leisure	Exemption from manual or agricultural labor	False	Exemption from manual labor	Contrasts those who 'drudge all the time' with those who 'celebrate thirty holidays a month'.
tlg0062.tlg030.perseus-eng2::8	Exemption from manual labor	Exemption from compulsory military service	Exemption from military service	False	Exemption from military service	Refers to the commander calling 'all those of military age' to the colours.
tlg0062.tlg030.perseus-eng2::10	Protection from legal prosecution	Exemption from legal suits	Immunity from prosecution	False	Protection from legal prosecution	States 'nobody can cite a suit that has been brought against a parasite'.
tlg0062.tlg045.perseus-eng2::1	Access to public honors	Eligibility for public competitions	Eligibility for public honors	False	Access to public honors	Mentions performers being 'held worthy to figure in competitions'.
tlg0062.tlg045.perseus-eng2::5	Protection from legal prosecution	Protection from legal proceedings	Participation in sacred rites	False	Access to religious rites	Discusses the obligation of 'silence about the rites' for those initiated into mysteries.
tlg0062.tlg045.perseus-eng2::10	Right to valid professional opinion	Access to professional certification	Testifying in court	True	Right to valid professional opinion	Refers to prescribed domain of 'learning' and 'knowledge' required for a professional (dancer).
tlg0062.tlg045.perseus-eng2::11	Right to professional judgement	Access to professional legitimacy	Testifying in court	False	Right to valid professional opinion	The verbatim discusses the dancer's professional mastery and stored knowledge as evidence 'to meet every occasion' of performance/presentation.
tlg0062.tlg045.perseus-eng2::13	Access to public honors	Right to perform in public spectacles	Eligibility for public honors	False	Access to public honors	Men of 'first rank' perform in 'public spectacles' with 'greater pride... than in family trees and public services.'
tlg0062.tlg046.perseus-eng2::1	Right to citizenship	Right to personal name	Right to personal name	True	Right to citizenship	Verbatim focuses on initiates being 'nameless' and 'ineffable' after being 'hallowed.'
tlg0062.tlg046.perseus-eng2::2	Protection from corporal punishment	Protection from corporal punishment	Protection from penal corporal punishment	False	Protection from corporal punishment	Describes the 'stripes of the lash' on a goldworker's back, a form of state or master-imposed penal punishment.
tlg0062.tlg046.perseus-eng2::3	Protection from corporal punishment	Protection from corporal restraint	Protection from arbitrary arrest	False	Right to a legal trial	Refers to a magistrate lodging a person in 'bilboes and the stocks' (physical restraint/arrest).
tlg0062.tlg046.perseus-eng2::6	Right to citizenship	Right to social interaction	Freedom from state supervision	False	Right to bodily autonomy	Describes a wife being 'unapproachable' and secluded due to lack of issue/illness.
tlg0062.tlg057.perseus-eng3::0	Right to retain property	Right to retain property	Owning and retaining property	False	Right to retain property	Artist (Zeuxis) asserts control over his work, ordering it to be covered and 'taken home.'
tlg0062.tlg057.perseus-eng3::1	Political power	Political power	Eligibility for the kingship	False	Eligibility for public office	Soldiers crown the general 'king of glorious victory' by acclamation.
tlg0062.tlg059.perseus-eng3::0	Right to remuneration for office	Right to receive public salary	Pay for assembly or jury service	False	Right to remuneration for office	Distinguishes between private hirelings and those in 'public service' who are 'paid by the Emperor.'
tlg0062.tlg059.perseus-eng3::1	Right to retain own earnings	Right to collect fees	Retaining one's own earnings	False	Right to retain own earnings	Refers to 'commanding the highest fees for the public practice of rhetoric.'
tlg0062.tlg062.perseus-eng3::0	Access to religious rites	Right to initiation in mysteries	Participation in sacred rites	False	Access to religious rites	Mentions being 'initiated into the mysteries' after becoming a citizen.
